,Clinic - Ambulatory Surgical Center January 2020,,,,,,,
21421,Treat mouth roof fracture,  ,                                        ,ASC,630,10/1/08,12/31/99, 
21445,Treat dental ridge fracture,  ,                                        ,ASC,630,10/1/08,12/31/99, 
21450,Treat lower jaw fracture,  ,                                        ,ASC,150.72,10/1/08,12/31/99, 
21451,Treat lower jaw fracture,  ,                                        ,ASC,464.15,10/1/08,12/31/99, 
21452,Treat lower jaw fracture,  ,                                        ,ASC,446,10/1/08,12/31/99, 
21453,Treat lower jaw fracture,  ,                                        ,ASC,510,10/1/08,12/31/99, 
21454,Treat lower jaw fracture,  ,                                        ,ASC,717,10/1/08,12/31/99, 
21461,Treat lower jaw fracture,  ,                                        ,ASC,630,10/1/08,12/31/99, 
21462,Treat lower jaw fracture,  ,                                        ,ASC,717,10/1/08,12/31/99, 
21465,Treat lower jaw fracture,  ,                                        ,ASC,630,10/1/08,12/31/99, 
21480,Reset dislocated jaw,  ,                                        ,ASC,150.72,10/1/08,12/31/99, 
21485,Reset dislocated jaw,  ,                                        ,ASC,446,10/1/08,12/31/99, 
21490,Repair dislocated jaw,  ,                                        ,ASC,510,10/1/08,12/31/99, 
21497,Interdental wiring,  ,                                        ,ASC,446,10/1/08,12/31/99, 
21501,Drain neck/chest lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
21502,Drain chest lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
21555,Exc neck les sc < 3 cm,  ,                                        ,ASC,446,10/1/08,12/31/99, 
21556,Exc neck tum deep < 5 cm,  ,                                        ,ASC,446,10/1/08,12/31/99, 
21600,Partial removal of rib,  ,                                        ,ASC,446,10/1/08,12/31/99, 
21610,Partial removal of rib,  ,                                        ,ASC,446,10/1/08,12/31/99, 
21700,Revision of neck muscle,  ,                                        ,ASC,446,10/1/08,12/31/99, 
21720,Revision of neck muscle,  ,                                        ,ASC,510,10/1/08,12/31/99, 
21725,Revision of neck muscle,  ,                                        ,ASC,88.46,10/1/08,12/31/99, 
21820,Treat sternum fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
21925,Biopsy soft tissue of back,  ,                                        ,ASC,446,10/1/08,12/31/99, 
21930,Exc back les sc < 3 cm,  ,                                        ,ASC,446,10/1/08,12/31/99, 
21935,Resect back tum < 5 cm,  ,                                        ,ASC,510,10/1/08,12/31/99, 
22310,Closed tx vert fx w/o manj,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
22315,Closed tx vert fx w/manj,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
22505,Manipulation of spine,  ,                                        ,ASC,446,10/1/08,12/31/99, 
22510,Perq cervicothoracic inject,  ,                                        ,ASC,1339,1/1/15,12/31/99, 
22511,Perq lumbosacral injection,  ,                                        ,ASC,1339,1/1/15,12/31/99, 
22513,Perq vertebral augmentation,  ,                                        ,ASC,333,1/1/15,12/31/99, 
22514,Perq vertebral augmentation,  ,                                        ,ASC,333,1/1/15,12/31/99, 
22900,Exc abdl tum deep < 5 cm,  ,                                        ,ASC,630,10/1/08,12/31/99, 
23000,Removal of calcium deposits,  ,                                        ,ASC,446,10/1/08,12/31/99, 
23020,Release shoulder joint,  ,                                        ,ASC,446,10/1/08,12/31/99, 
23030,Drain shoulder lesion,  ,                                        ,ASC,333,10/1/08,12/31/99, 
23031,Drain shoulder bursa,  ,                                        ,ASC,510,10/1/08,12/31/99, 
23035,Drain shoulder bone lesion,  ,                                        ,ASC,510,10/1/08,12/31/99, 
23040,Exploratory shoulder surgery,  ,                                        ,ASC,510,10/1/08,12/31/99, 
23066,Biopsy shoulder tissues,  ,                                        ,ASC,446,10/1/08,12/31/99, 
23075,Exc shoulder les sc < 3 cm,  ,                                        ,ASC,446,10/1/08,12/31/99, 
23076,Exc shoulder tum deep < 5 cm,  ,                                        ,ASC,446,10/1/08,12/31/99, 
23077,Resect shoulder tumor < 5 cm,  ,                                        ,ASC,510,10/1/08,12/31/99, 
23100,Biopsy of shoulder joint,  ,                                        ,ASC,446,10/1/08,12/31/99, 
23101,Shoulder joint surgery,  ,                                        ,ASC,995,10/1/08,12/31/99, 
23105,Remove shoulder joint lining,  ,                                        ,ASC,630,10/1/08,12/31/99, 
23106,Incision of collarbone joint,  ,                                        ,ASC,630,10/1/08,12/31/99, 
23107,Explore treat shoulder joint,  ,                                        ,ASC,630,10/1/08,12/31/99, 
23120,Partial removal collar bone,  ,                                        ,ASC,717,10/1/08,12/31/99, 
23125,Removal of collar bone,  ,                                        ,ASC,717,10/1/08,12/31/99, 
23130,Remove shoulder bone part,  ,                                        ,ASC,717,10/1/08,12/31/99, 
23140,Removal of bone lesion,  ,                                        ,ASC,630,10/1/08,12/31/99, 
23145,Removal of bone lesion,  ,                                        ,ASC,717,10/1/08,12/31/99, 
23146,Removal of bone lesion,  ,                                        ,ASC,717,10/1/08,12/31/99, 
23150,Removal of humerus lesion,  ,                                        ,ASC,630,10/1/08,12/31/99, 
23155,Removal of humerus lesion,  ,                                        ,ASC,717,10/1/08,12/31/99, 
23156,Removal of humerus lesion,  ,                                        ,ASC,717,10/1/08,12/31/99, 
23170,Remove collar bone lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
23172,Remove shoulder blade lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
23174,Remove humerus lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
23180,Remove collar bone lesion,  ,                                        ,ASC,630,10/1/08,12/31/99, 
23182,Remove shoulder blade lesion,  ,                                        ,ASC,630,10/1/08,12/31/99, 
23184,Remove humerus lesion,  ,                                        ,ASC,630,10/1/08,12/31/99, 
23190,Partial removal of scapula,  ,                                        ,ASC,630,10/1/08,12/31/99, 
23195,Removal of head of humerus,  ,                                        ,ASC,717,10/1/08,12/31/99, 
23330,Remove shoulder foreign body,  ,                                        ,ASC,333,10/1/08,12/31/99, 
23333,Remove shoulder fb deep,  ,                                        ,ASC,333,1/1/14,12/31/99, 
23395,Muscle transfer shoulder/arm,  ,                                        ,ASC,717,10/1/08,12/31/99, 
23397,Muscle transfers,  ,                                        ,ASC,995,10/1/08,12/31/99, 
23400,Fixation of shoulder blade,  ,                                        ,ASC,995,10/1/08,12/31/99, 
23405,Incision of tendon & muscle,  ,                                        ,ASC,446,10/1/08,12/31/99, 
23406,Incise tendon(s) & muscle(s),  ,                                        ,ASC,446,10/1/08,12/31/99, 
23410,Repair rotator cuff acute,  ,                                        ,ASC,717,10/1/08,12/31/99, 
23412,Repair rotator cuff chronic,  ,                                        ,ASC,995,10/1/08,12/31/99, 
23415,Release of shoulder ligament,  ,                                        ,ASC,717,10/1/08,12/31/99, 
23420,Repair of shoulder,  ,                                        ,ASC,995,10/1/08,12/31/99, 
23430,Repair biceps tendon,  ,                                        ,ASC,630,10/1/08,12/31/99, 
23440,Remove/transplant tendon,  ,                                        ,ASC,630,10/1/08,12/31/99, 
23450,Repair shoulder capsule,  ,                                        ,ASC,717,10/1/08,12/31/99, 
23455,Repair shoulder capsule,  ,                                        ,ASC,995,10/1/08,12/31/99, 
23460,Repair shoulder capsule,  ,                                        ,ASC,717,10/1/08,12/31/99, 
23462,Repair shoulder capsule,  ,                                        ,ASC,995,10/1/08,12/31/99, 
23465,Repair shoulder capsule,  ,                                        ,ASC,717,10/1/08,12/31/99, 
23466,Repair shoulder capsule,  ,                                        ,ASC,995,10/1/08,12/31/99, 
23480,Revision of collar bone,  ,                                        ,ASC,630,10/1/08,12/31/99, 
23485,Revision of collar bone,  ,                                        ,ASC,995,10/1/08,12/31/99, 
23490,Reinforce clavicle,  ,                                        ,ASC,510,10/1/08,12/31/99, 
23491,Reinforce shoulder bones,  ,                                        ,ASC,510,10/1/08,12/31/99, 
23500,Treat clavicle fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
23505,Treat clavicle fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
23515,Treat clavicle fracture,  ,                                        ,ASC,510,10/1/08,12/31/99, 
23520,Treat clavicle dislocation,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
23525,Treat clavicle dislocation,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
23530,Treat clavicle dislocation,  ,                                        ,ASC,510,10/1/08,12/31/99, 
23532,Treat clavicle dislocation,  ,                                        ,ASC,630,10/1/08,12/31/99, 
23540,Treat clavicle dislocation,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
23545,Treat clavicle dislocation,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
23550,Treat clavicle dislocation,  ,                                        ,ASC,510,10/1/08,12/31/99, 
23552,Treat clavicle dislocation,  ,                                        ,ASC,630,10/1/08,12/31/99, 
23570,Treat shoulder blade fx,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
23575,Treat shoulder blade fx,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
23585,Treat scapula fracture,  ,                                        ,ASC,510,10/1/08,12/31/99, 
23605,Treat humerus fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
23615,Treat humerus fracture,  ,                                        ,ASC,630,10/1/08,12/31/99, 
23616,Treat humerus fracture,  ,                                        ,ASC,630,10/1/08,12/31/99, 
23625,Treat humerus fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
23630,Treat humerus fracture,  ,                                        ,ASC,717,10/1/08,12/31/99, 
23650,Treat shoulder dislocation,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
23655,Treat shoulder dislocation,  ,                                        ,ASC,333,10/1/08,12/31/99, 
23660,Treat shoulder dislocation,  ,                                        ,ASC,510,10/1/08,12/31/99, 
23665,Treat dislocation/fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
23670,Treat dislocation/fracture,  ,                                        ,ASC,510,10/1/08,12/31/99, 
23675,Treat dislocation/fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
23680,Treat dislocation/fracture,  ,                                        ,ASC,510,10/1/08,12/31/99, 
23700,Fixation of shoulder,  ,                                        ,ASC,333,10/1/08,12/31/99, 
23800,Fusion of shoulder joint,  ,                                        ,ASC,630,10/1/08,12/31/99, 
23802,Fusion of shoulder joint,  ,                                        ,ASC,995,10/1/08,12/31/99, 
23921,Amputation follow-up surgery,  ,                                        ,ASC,323.28,10/1/08,12/31/99, 
23930,Drainage of arm lesion,  ,                                        ,ASC,333,10/1/08,12/31/99, 
23931,Drainage of arm bursa,  ,                                        ,ASC,446,10/1/08,12/31/99, 
23935,Drain arm/elbow bone lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
24000,Exploratory elbow surgery,  ,                                        ,ASC,630,10/1/08,12/31/99, 
24006,Release elbow joint,  ,                                        ,ASC,630,10/1/08,12/31/99, 
24066,Biopsy arm/elbow soft tissue,  ,                                        ,ASC,446,10/1/08,12/31/99, 
24075,Exc arm/elbow les sc < 3 cm,  ,                                        ,ASC,446,10/1/08,12/31/99, 
24076,Ex arm/elbow tum deep < 5 cm,  ,                                        ,ASC,446,10/1/08,12/31/99, 
